"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"12/30/2024","Qualified Dividend","DVN","DEVON ENERGY CORP NEW","","","","$3.30"
"12/26/2024","Cash Dividend","XLRE","REAL ESTATE SELECT SCTR SPDR ETF IV","","","","$4.77"
"12/26/2024","Cash Dividend","XLE","ENERGY SELECT SECTOR SPDR ETF","","","","$7.00"
"12/26/2024","Qualified Dividend","HAL","HALLIBURTON CO","","","","$1.70"
"12/23/2024","Cash Dividend","TLT","ISHARES 20 PLS YEAR TREASURY BND ETF","","","","$8.78"
"12/20/2024","Qualified Dividend","NOV","NOV INC","","","","$1.50"
"12/05/2024","Cash Dividend","TLT","ISHARES 20 PLS YEAR TREASURY BND ETF","","","","$8.13"
"12/02/2024","Reinvest Shares","WFC","WELLS FARGO & CO","0.1073","$75.5629","","-$8.11"
"12/02/2024 as of 12/01/2024","Qualified Dividend","ENB","ENBRIDGE INC F","","","","$3.25"
"12/02/2024 as of 12/01/2024","Qual Div Reinvest","WFC","WELLS FARGO & CO","","","","$8.11"
"11/27/2024","Qualified Dividend","CTRA","COTERRA ENERGY INC","","","","$4.20"
"11/15/2024","Qualified Dividend","KMI","KINDER MORGAN INC DEL","","","","$17.25"
"11/06/2024","Cash Dividend","TLT","ISHARES 20 PLS YEAR TREASURY BND ETF","","","","$3.11"
"10/31/2024","Qualified Dividend","TRP","TC ENERGY CORP F","","","","$13.77"
"10/03/2024","Qualified Dividend","WDS","WOODSIDE ENERGY GROUP FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$69.00"
"09/03/2024","Reinvest Shares","WFC","WELLS FARGO & CO","0.0703","$58.0738","","-$4.08"
"09/03/2024 as of 09/01/2024","Qualified Dividend","ENB","ENBRIDGE INC F","","","","$20.23"
"09/03/2024 as of 09/01/2024","Qual Div Reinvest","WFC","WELLS FARGO & CO","","","","$4.08"
"08/15/2024","Qualified Dividend","KMI","KINDER MORGAN INC","","","","$17.25"
"07/31/2024","Qualified Dividend","TRP","TC ENERGY CORP F","","","","$13.89"
"07/15/2024","Qualified Dividend","OR","OSISKO GOLD ROYALTIE F","","","","$1.42"
"06/03/2024","Reinvest Shares","WFC","WELLS FARGO & CO","0.0596","$59.5262","","-$3.55"
"06/03/2024 as of 06/01/2024","Qualified Dividend","ENB","ENBRIDGE INC F","","","","$13.40"
"06/03/2024 as of 06/01/2024","Qual Div Reinvest","WFC","WELLS FARGO & CO","","","","$3.55"
"05/15/2024","Qualified Dividend","KMI","KINDER MORGAN INC","","","","$17.25"
"04/30/2024","Qualified Dividend","TRP","TC ENERGY CORP F","","","","$13.95"
"04/15/2024","Qualified Dividend","OR","OSISKO GOLD ROYALTIE F","","","","$1.31"
"03/11/2024","Qualified Dividend","XOM","EXXON MOBIL CORP","","","","$9.50"
"03/04/2024","Reinvest Shares","WFC","WELLS FARGO & CO","0.0632","$55.893","","-$3.53"
"03/01/2024","Qual Div Reinvest","WFC","WELLS FARGO & CO","","","","$3.53"
"03/01/2024","Qualified Dividend","ENB","ENBRIDGE INC F","","","","$13.49"
"02/15/2024","Qualified Dividend","KMI","KINDER MORGAN INC","","","","$16.95"
"01/31/2024","Qualified Dividend","TRP","TC ENERGY CORP F","","","","$13.88"
"01/16/2024 as of 01/15/2024","Qualified Dividend","OR","OSISKO GOLD ROYALTIE F","","","","$1.33"
